post_id,title,description,category,price,dong,latitude,longitude,created_at,view_count,like_count,chat_count
27,도시락통 저렴하게 내놓습니다,낙성대동 인근에서 거래 원합니다. 도시락통 필요하신 분 연락 주세요.,생활용품,6000,낙성대동,37.47461756271458,126.95570629654807,2026-05-08 13:45:03,576,19,17
28,러닝화 거의 새상품입니다,흑석동 인근에서 거래 원합니다. 러닝화 필요하신 분 연락 주세요.,스포츠/레저,33000,흑석동,37.503835456890876,126.9663111922302,2026-06-02 21:05:03,859,35,2
29,베스트셀러 소설 이사 정리합니다,베스트셀러 소설 상태 양호합니다. 상도동 근처에서 시간 맞춰 거래 가능합니다.,도서,5000,상도동,37.49496028138061,126.92969215984512,2026-06-02 14:36:03,717,19,34
30,빨래 건조대 필요하신 분 가져가세요,낙성대동에서 거래 가능한 빨래 건조대입니다. 상태 좋고 빠른 거래 원합니다.,생활용품,24000,낙성대동,37.474295297392224,126.95462793621672,2026-05-25 15:35:03,376,26,43
31,디퓨저 상태 좋아요,디퓨저 판매합니다. 청룡동 근처 직거래 가능하고 사용감은 적은 편입니다.,생활용품,16000,청룡동,37.48402386496148,126.9518171316655,2026-05-08 04:31:03,193,94,21
32,슬랙스 상태 좋아요,집 정리하면서 슬랙스 내놓습니다. 봉천동에서 직거래 가능합니다.,의류,12000,봉천동,37.48065190867339,126.94455345499152,2026-05-09 02:18:03,214,58,22
33,청바지 판매합니다,집 정리하면서 청바지 내놓습니다. 청룡동에서 직거래 가능합니다.,의류,31000,청룡동,37.48129405675528,126.95449518118359,2026-05-28 14:43:03,295,44,41
34,장우산 판매합니다,봉천동 인근에서 거래 원합니다. 장우산 필요하신 분 연락 주세요.,생활용품,8000,봉천동,37.4810568711168,126.94446428178203,2026-05-18 09:30:03,121,76,27
35,아기 신발 저렴하게 내놓습니다,아기 신발 상태 양호합니다. 상도동 근처에서 시간 맞춰 거래 가능합니다.,유아용품,17000,상도동,37.50385575165499,126.93138451997092,2026-05-28 15:47:03,456,0,33
36,가디건 필요하신 분 가져가세요,봉천동 인근에서 거래 원합니다. 가디건 필요하신 분 연락 주세요.,의류,49000,봉천동,37.48267122504035,126.94326892904105,2026-05-25 19:38:03,137,92,19
37,낚시대 거의 새상품입니다,낚시대 판매합니다. 낙성대동 근처 직거래 가능하고 사용감은 적은 편입니다.,스포츠/레저,127000,낙성대동,37.47749105254866,126.95766075168758,2026-05-15 04:49:03,776,22,39
38,갤럭시워치 거의 새상품입니다,집 정리하면서 갤럭시워치 내놓습니다. 청룡동에서 직거래 가능합니다.,디지털기기,281000,청룡동,37.48062159799305,126.94983701400989,2026-05-17 21:51:03,339,59,28
39,물그릇 상태 좋아요,봉천동 인근에서 거래 원합니다. 물그릇 필요하신 분 연락 주세요.,반려동물용품,19000,봉천동,37.47994868598526,126.93970419464294,2026-05-14 20:53:03,353,11,48
40,맨투맨 판매합니다,맨투맨 판매합니다. 신림동 근처 직거래 가능하고 사용감은 적은 편입니다.,의류,40000,신림동,37.4811443523674,126.93096354250491,2026-05-17 15:03:03,434,80,36
41,고양이 장난감 급처합니다,낙성대동에서 거래 가능한 고양이 장난감입니다. 상태 좋고 빠른 거래 원합니다.,반려동물용품,27000,낙성대동,37.47984109856173,126.96055911776409,2026-05-09 13:43:03,445,28,11
42,강아지 하우스 급처합니다,집 정리하면서 강아지 하우스 내놓습니다. 봉천동에서 직거래 가능합니다.,반려동물용품,27000,봉천동,37.48077297957465,126.94415250013556,2026-05-11 02:50:03,553,71,38
43,목줄 필요하신 분 가져가세요,목줄 판매합니다. 흑석동 근처 직거래 가능하고 사용감은 적은 편입니다.,반려동물용품,26000,흑석동,37.51219862887842,126.96137311353131,2026-05-09 02:04:03,275,96,15
44,담요 급처합니다,집 정리하면서 담요 내놓습니다. 대학동에서 직거래 가능합니다.,생활용품,9000,대학동,37.474530268327904,126.93260577657658,2026-05-14 08:17:03,288,42,20
45,3인용 소파 필요하신 분 가져가세요,3인용 소파 판매합니다. 낙성대동 근처 직거래 가능하고 사용감은 적은 편입니다.,가구/인테리어,112000,낙성대동,37.47242265710583,126.9619289116934,2026-05-23 04:11:03,565,59,26
46,아기띠 판매합니다,집 정리하면서 아기띠 내놓습니다. 상도동에서 직거래 가능합니다.,유아용품,21000,상도동,37.499982205676105,126.93334634060756,2026-05-06 06:13:03,781,49,26
47,피규어 이사 정리합니다,청룡동 인근에서 거래 원합니다. 피규어 필요하신 분 연락 주세요.,게임/취미,121000,청룡동,37.4841814232442,126.95494181377627,2026-05-21 17:08:03,354,85,43
48,스크래쳐 상태 좋아요,집 정리하면서 스크래쳐 내놓습니다. 신림동에서 직거래 가능합니다.,반려동물용품,42000,신림동,37.48055699487231,126.92861698444052,2026-05-17 20:31:03,95,82,27
49,애플워치 필요하신 분 가져가세요,애플워치 판매합니다. 사당동 근처 직거래 가능하고 사용감은 적은 편입니다.,디지털기기,352000,사당동,37.47912009823555,126.98491924285155,2026-05-26 06:44:03,910,48,17
50,코딩 테스트 책 저렴하게 내놓습니다,흑석동에서 거래 가능한 코딩 테스트 책입니다. 상태 좋고 빠른 거래 원합니다.,도서,33000,흑석동,37.511612330496106,126.96511754655243,2026-05-19 16:10:03,239,83,4
51,갤럭시탭 급처합니다,갤럭시탭 상태 양호합니다. 신림동 근처에서 시간 맞춰 거래 가능합니다.,디지털기기,228000,신림동,37.488677570222166,126.92865033983435,2026-05-29 13:02:03,695,14,36
52,한국사 교재 사용감 적어요,한국사 교재 상태 양호합니다. 낙성대동 근처에서 시간 맞춰 거래 가능합니다.,도서,24000,낙성대동,37.48144720773034,126.95468098749657,2026-05-05 17:47:03,127,99,10
53,갤럭시워치 필요하신 분 가져가세요,갤럭시워치 판매합니다. 상도동 근처 직거래 가능하고 사용감은 적은 편입니다.,디지털기기,99000,상도동,37.50157193002496,126.92901582685488,2026-05-17 18:39:03,652,31,6
54,Xbox 컨트롤러 판매합니다,Xbox 컨트롤러 상태 양호합니다. 사당동 근처에서 시간 맞춰 거래 가능합니다.,게임/취미,84000,사당동,37.47172652150166,126.98080058740842,2026-05-15 06:28:03,528,82,21
55,고양이 캣타워 필요하신 분 가져가세요,집 정리하면서 고양이 캣타워 내놓습니다. 사당동에서 직거래 가능합니다.,반려동물용품,211000,사당동,37.47430082396387,126.98468199218807,2026-06-01 04:21:03,761,66,41
56,담요 이사 정리합니다,담요 상태 양호합니다. 상도동 근처에서 시간 맞춰 거래 가능합니다.,생활용품,22000,상도동,37.50341631184003,126.92843863439191,2026-05-26 09:39:03,967,11,17
57,목줄 필요하신 분 가져가세요,사당동에서 거래 가능한 목줄입니다. 상태 좋고 빠른 거래 원합니다.,반려동물용품,18000,사당동,37.479578323568276,126.98000338843164,2026-05-09 07:21:03,509,27,22
58,프라모델 판매합니다,청룡동에서 거래 가능한 프라모델입니다. 상태 좋고 빠른 거래 원합니다.,게임/취미,71000,청룡동,37.48310609339447,126.95415902899741,2026-05-13 04:01:03,578,97,15
59,강아지 장난감 판매합니다,봉천동 인근에서 거래 원합니다. 강아지 장난감 필요하신 분 연락 주세요.,반려동물용품,10000,봉천동,37.48129020450661,126.94213472955009,2026-05-23 19:17:03,323,84,37
60,자전거 헬멧 사용감 적어요,집 정리하면서 자전거 헬멧 내놓습니다. 사당동에서 직거래 가능합니다.,스포츠/레저,44000,사당동,37.474755479440056,126.98402881063639,2026-05-27 09:18:03,133,92,12
61,싱글 매트리스 급처합니다,흑석동 인근에서 거래 원합니다. 싱글 매트리스 필요하신 분 연락 주세요.,가구/인테리어,180000,흑석동,37.50676246463265,126.9622088106915,2026-05-12 00:54:03,299,12,12
62,파이썬 입문서 상태 좋아요,대학동에서 거래 가능한 파이썬 입문서입니다. 상태 좋고 빠른 거래 원합니다.,도서,9000,대학동,37.47428461197263,126.93670878694525,2026-05-19 07:48:03,976,16,40
63,맥북 에어 거의 새상품입니다,집 정리하면서 맥북 에어 내놓습니다. 흑석동에서 직거래 가능합니다.,디지털기기,951000,흑석동,37.512021156452995,126.96260707442252,2026-05-26 12:29:03,268,61,7
64,인덕션 판매합니다,인덕션 판매합니다. 낙성대동 근처 직거래 가능하고 사용감은 적은 편입니다.,생활가전,174000,낙성대동,37.47944443445326,126.95966317651244,2026-05-06 08:27:03,264,15,35
65,피규어 필요하신 분 가져가세요,집 정리하면서 피규어 내놓습니다. 흑석동에서 직거래 가능합니다.,게임/취미,86000,흑석동,37.504402303043726,126.96820108777435,2026-05-08 23:05:03,322,72,39
66,공기청정기 급처합니다,대학동에서 거래 가능한 공기청정기입니다. 상태 좋고 빠른 거래 원합니다.,생활가전,120000,대학동,37.469685175726596,126.93869371135786,2026-05-29 11:57:03,86,20,0
67,반려동물 이동장 판매합니다,청룡동 인근에서 거래 원합니다. 반려동물 이동장 필요하신 분 연락 주세요.,반려동물용품,100000,청룡동,37.4785342380616,126.95034554625659,2026-05-26 18:37:03,474,9,43
68,레고 세트 필요하신 분 가져가세요,레고 세트 상태 양호합니다. 봉천동 근처에서 시간 맞춰 거래 가능합니다.,게임/취미,135000,봉천동,37.47819638039514,126.94452628566232,2026-05-16 12:34:03,282,18,4
69,만화책 세트 거의 새상품입니다,흑석동에서 거래 가능한 만화책 세트입니다. 상태 좋고 빠른 거래 원합니다.,게임/취미,69000,흑석동,37.50919981562598,126.96297758863571,2026-05-14 07:48:03,422,34,32
70,플스5 게임 타이틀 필요하신 분 가져가세요,플스5 게임 타이틀 상태 양호합니다. 사당동 근처에서 시간 맞춰 거래 가능합니다.,게임/취미,36000,사당동,37.477471229317096,126.97680745456215,2026-06-05 15:18:03,994,86,36
71,에세이 판매합니다,집 정리하면서 에세이 내놓습니다. 낙성대동에서 직거래 가능합니다.,도서,19000,낙성대동,37.4799424494454,126.96329055236066,2026-05-07 09:21:03,609,55,40
72,강아지 옷 필요하신 분 가져가세요,사당동 인근에서 거래 원합니다. 강아지 옷 필요하신 분 연락 주세요.,반려동물용품,11000,사당동,37.47448217795361,126.98605193539564,2026-05-09 12:11:03,431,88,31
73,냄비 세트 이사 정리합니다,봉천동 인근에서 거래 원합니다. 냄비 세트 필요하신 분 연락 주세요.,생활용품,74000,봉천동,37.48417660386483,126.94202593594356,2026-05-26 13:43:03,423,65,0
74,유모차 급처합니다,유모차 상태 양호합니다. 사당동 근처에서 시간 맞춰 거래 가능합니다.,유아용품,437000,사당동,37.47427056238273,126.97791013228951,2026-05-20 21:04:03,788,6,13
75,자기계발서 이사 정리합니다,봉천동에서 거래 가능한 자기계발서입니다. 상태 좋고 빠른 거래 원합니다.,도서,25000,봉천동,37.47773674464466,126.94067990687289,2026-05-17 09:47:03,172,39,35
76,나이키 후드티 이사 정리합니다,나이키 후드티 판매합니다. 봉천동 근처 직거래 가능하고 사용감은 적은 편입니다.,의류,78000,봉천동,37.481754903429355,126.94142499576957,2026-05-06 19:14:03,531,90,17
77,자동 급식기 이사 정리합니다,집 정리하면서 자동 급식기 내놓습니다. 낙성대동에서 직거래 가능합니다.,반려동물용품,68000,낙성대동,37.47456247402822,126.96150006182003,2026-05-06 22:00:03,774,17,4
78,젖병 소독기 거의 새상품입니다,신림동 인근에서 거래 원합니다. 젖병 소독기 필요하신 분 연락 주세요.,유아용품,96000,신림동,37.48366547393044,126.92884341385552,2026-05-09 22:55:03,685,62,9
79,농구공 필요하신 분 가져가세요,흑석동 인근에서 거래 원합니다. 농구공 필요하신 분 연락 주세요.,스포츠/레저,17000,흑석동,37.507907750955496,126.96178176327234,2026-05-14 09:56:03,402,29,49
80,사료 보관통 필요하신 분 가져가세요,사료 보관통 판매합니다. 상도동 근처 직거래 가능하고 사용감은 적은 편입니다.,반려동물용품,36000,상도동,37.503297003133625,126.93474190374054,2026-05-06 16:24:03,524,75,21
81,고양이 캣타워 이사 정리합니다,고양이 캣타워 판매합니다. 신림동 근처 직거래 가능하고 사용감은 적은 편입니다.,반려동물용품,134000,신림동,37.48889203630574,126.92738561234052,2026-05-08 21:23:03,86,60,50
82,기저귀 정리함 저렴하게 내놓습니다,기저귀 정리함 상태 양호합니다. 사당동 근처에서 시간 맞춰 거래 가능합니다.,유아용품,29000,사당동,37.48032383017398,126.97695899099838,2026-05-06 06:52:03,745,97,31
83,가습기 거의 새상품입니다,청룡동에서 거래 가능한 가습기입니다. 상태 좋고 빠른 거래 원합니다.,생활가전,65000,청룡동,37.477863647867295,126.95069466080244,2026-06-01 20:47:03,903,12,28
84,아이폰 14 사용감 적어요,신림동 인근에서 거래 원합니다. 아이폰 14 필요하신 분 연락 주세요.,디지털기기,583000,신림동,37.48485928061916,126.93192519473881,2026-05-25 04:23:03,260,67,26
85,침대 프레임 저렴하게 내놓습니다,침대 프레임 상태 양호합니다. 상도동 근처에서 시간 맞춰 거래 가능합니다.,가구/인테리어,224000,상도동,37.49921149913355,126.92853977339414,2026-05-29 01:34:03,607,18,14
86,인문교양서 판매합니다,흑석동 인근에서 거래 원합니다. 인문교양서 필요하신 분 연락 주세요.,도서,22000,흑석동,37.506791542491236,126.96822029072824,2026-05-31 15:04:03,977,44,37
87,자기계발서 거의 새상품입니다,집 정리하면서 자기계발서 내놓습니다. 청룡동에서 직거래 가능합니다.,도서,20000,청룡동,37.47915872390216,126.9546927907955,2026-06-02 10:08:03,595,45,36
88,USB 허브 필요하신 분 가져가세요,대학동에서 거래 가능한 USB 허브입니다. 상태 좋고 빠른 거래 원합니다.,디지털기기,8000,대학동,37.473588601195075,126.93787064998165,2026-05-06 21:45:03,518,36,49
89,등산화 급처합니다,등산화 판매합니다. 대학동 근처 직거래 가능하고 사용감은 적은 편입니다.,스포츠/레저,180000,대학동,37.47000823190162,126.93759573805369,2026-06-01 20:51:03,50,39,50
90,게이밍 의자 거의 새상품입니다,집 정리하면서 게이밍 의자 내놓습니다. 사당동에서 직거래 가능합니다.,가구/인테리어,84000,사당동,37.47661794762264,126.97932527350713,2026-05-30 12:42:03,562,46,33
91,좌식 테이블 이사 정리합니다,대학동 인근에서 거래 원합니다. 좌식 테이블 필요하신 분 연락 주세요.,가구/인테리어,24000,대학동,37.47284216712075,126.94159942242783,2026-05-22 15:23:03,782,28,43
92,공구 세트 저렴하게 내놓습니다,상도동에서 거래 가능한 공구 세트입니다. 상태 좋고 빠른 거래 원합니다.,생활용품,43000,상도동,37.50132340797351,126.93184560091652,2026-05-19 14:03:03,387,86,47
93,푸쉬업바 급처합니다,흑석동에서 거래 가능한 푸쉬업바입니다. 상태 좋고 빠른 거래 원합니다.,스포츠/레저,24000,흑석동,37.5102765238064,126.96495403922378,2026-05-08 00:12:03,947,78,14
94,스크래쳐 거의 새상품입니다,상도동에서 거래 가능한 스크래쳐입니다. 상태 좋고 빠른 거래 원합니다.,반려동물용품,13000,상도동,37.496948000324316,126.93137546605882,2026-06-04 16:13:03,514,14,6
95,블록 장난감 사용감 적어요,블록 장난감 상태 양호합니다. 상도동 근처에서 시간 맞춰 거래 가능합니다.,유아용품,24000,상도동,37.498681158856975,126.9355152152538,2026-05-08 03:51:03,111,62,39
96,블루투스 스피커 사용감 적어요,집 정리하면서 블루투스 스피커 내놓습니다. 청룡동에서 직거래 가능합니다.,디지털기기,66000,청룡동,37.47987334958497,126.95671696212423,2026-05-06 09:38:03,381,12,43
97,덤벨 세트 필요하신 분 가져가세요,덤벨 세트 판매합니다. 대학동 근처 직거래 가능하고 사용감은 적은 편입니다.,스포츠/레저,25000,대학동,37.47199492918529,126.94151093312065,2026-05-06 03:27:03,688,27,41
98,에어팟 프로 급처합니다,에어팟 프로 상태 양호합니다. 낙성대동 근처에서 시간 맞춰 거래 가능합니다.,디지털기기,142000,낙성대동,37.47508559553432,126.95507554179942,2026-06-03 00:19:03,610,27,14
99,닌텐도 스위치 거의 새상품입니다,닌텐도 스위치 판매합니다. 낙성대동 근처 직거래 가능하고 사용감은 적은 편입니다.,게임/취미,318000,낙성대동,37.4719486032723,126.96149984664235,2026-05-28 12:25:03,686,3,8
100,백팩 사용감 적어요,백팩 판매합니다. 신림동 근처 직거래 가능하고 사용감은 적은 편입니다.,의류,43000,신림동,37.48665665275034,126.92876245965424,2026-06-04 12:45:03,441,67,7
101,축구공 저렴하게 내놓습니다,축구공 상태 양호합니다. 흑석동 근처에서 시간 맞춰 거래 가능합니다.,스포츠/레저,19000,흑석동,37.50901451214713,126.96318042522098,2026-05-05 22:30:03,754,100,42
102,아이폰 14 이사 정리합니다,집 정리하면서 아이폰 14 내놓습니다. 상도동에서 직거래 가능합니다.,디지털기기,751000,상도동,37.50359266765123,126.92922111819746,2026-06-02 01:47:03,941,56,4
103,게이밍 의자 상태 좋아요,게이밍 의자 상태 양호합니다. 대학동 근처에서 시간 맞춰 거래 가능합니다.,가구/인테리어,202000,대학동,37.47090556837431,126.93633715417576,2026-05-17 23:47:03,342,48,38
104,우쿨렐레 저렴하게 내놓습니다,우쿨렐레 상태 양호합니다. 봉천동 근처에서 시간 맞춰 거래 가능합니다.,게임/취미,112000,봉천동,37.48098931618835,126.94113498902907,2026-05-09 11:05:03,472,29,26
105,아기 욕조 저렴하게 내놓습니다,집 정리하면서 아기 욕조 내놓습니다. 사당동에서 직거래 가능합니다.,유아용품,25000,사당동,37.48082985035734,126.97727133308136,2026-05-15 09:09:03,986,19,43
106,전기포트 필요하신 분 가져가세요,봉천동 인근에서 거래 원합니다. 전기포트 필요하신 분 연락 주세요.,생활가전,13000,봉천동,37.48089645981416,126.93782231285354,2026-05-19 15:55:03,989,71,35
107,자전거 헬멧 판매합니다,자전거 헬멧 상태 양호합니다. 대학동 근처에서 시간 맞춰 거래 가능합니다.,스포츠/레저,49000,대학동,37.47216736302988,126.93404244869109,2026-05-25 13:56:03,529,27,9
108,로봇청소기 사용감 적어요,봉천동 인근에서 거래 원합니다. 로봇청소기 필요하신 분 연락 주세요.,생활가전,373000,봉천동,37.48373573280535,126.94302699163829,2026-05-29 03:38:03,584,98,39
109,삼성 노트북 거의 새상품입니다,삼성 노트북 판매합니다. 신림동 근처 직거래 가능하고 사용감은 적은 편입니다.,디지털기기,529000,신림동,37.48101405558213,126.92543251490342,2026-05-14 07:34:03,357,44,0
110,카시트 상태 좋아요,신림동에서 거래 가능한 카시트입니다. 상태 좋고 빠른 거래 원합니다.,유아용품,301000,신림동,37.48290053092477,126.93121595967743,2026-05-30 05:06:03,474,43,10
111,플스4 게임 타이틀 판매합니다,플스4 게임 타이틀 판매합니다. 낙성대동 근처 직거래 가능하고 사용감은 적은 편입니다.,게임/취미,49000,낙성대동,37.476040147731126,126.95967076007442,2026-06-03 20:27:03,288,56,42
112,분유포트 급처합니다,봉천동 인근에서 거래 원합니다. 분유포트 필요하신 분 연락 주세요.,유아용품,65000,봉천동,37.48286934107148,126.93968419391851,2026-06-02 07:49:03,704,75,31
113,바람막이 판매합니다,바람막이 판매합니다. 신림동 근처 직거래 가능하고 사용감은 적은 편입니다.,의류,53000,신림동,37.48209447131217,126.92519984343706,2026-05-06 10:43:03,150,97,16
114,사료 보관통 필요하신 분 가져가세요,사료 보관통 판매합니다. 낙성대동 근처 직거래 가능하고 사용감은 적은 편입니다.,반려동물용품,29000,낙성대동,37.47986200186566,126.95432075496592,2026-05-18 19:18:03,522,71,42
115,무선 마우스 판매합니다,흑석동에서 거래 가능한 무선 마우스입니다. 상태 좋고 빠른 거래 원합니다.,디지털기기,25000,흑석동,37.507976939598436,126.95975173372663,2026-05-18 03:56:03,424,90,40
116,에어팟 프로 상태 좋아요,흑석동 인근에서 거래 원합니다. 에어팟 프로 필요하신 분 연락 주세요.,디지털기기,112000,흑석동,37.509039625430006,126.96255766696859,2026-05-23 14:17:03,456,75,25
117,영어 회화책 사용감 적어요,청룡동 인근에서 거래 원합니다. 영어 회화책 필요하신 분 연락 주세요.,도서,10000,청룡동,37.47813903706267,126.95546228229324,2026-06-03 00:52:03,126,67,32
118,폼롤러 급처합니다,폼롤러 판매합니다. 봉천동 근처 직거래 가능하고 사용감은 적은 편입니다.,스포츠/레저,13000,봉천동,37.48415509010518,126.93837146128946,2026-05-30 11:54:03,166,97,48
119,강아지 장난감 이사 정리합니다,사당동 인근에서 거래 원합니다. 강아지 장난감 필요하신 분 연락 주세요.,반려동물용품,7000,사당동,37.47956329679151,126.9825141975683,2026-05-22 15:02:03,462,80,19
120,축구공 저렴하게 내놓습니다,집 정리하면서 축구공 내놓습니다. 대학동에서 직거래 가능합니다.,스포츠/레저,33000,대학동,37.47204666469575,126.94157368532534,2026-06-04 16:09:03,861,36,4
121,스팀다리미 필요하신 분 가져가세요,스팀다리미 상태 양호합니다. 흑석동 근처에서 시간 맞춰 거래 가능합니다.,생활가전,80000,흑석동,37.510318374546486,126.96181526762881,2026-05-05 17:35:03,52,57,36
122,반려동물 방석 상태 좋아요,집 정리하면서 반려동물 방석 내놓습니다. 신림동에서 직거래 가능합니다.,반려동물용품,18000,신림동,37.480925589114364,126.92647743723599,2026-05-11 06:47:03,96,64,41
123,강아지 장난감 상태 좋아요,사당동 인근에서 거래 원합니다. 강아지 장난감 필요하신 분 연락 주세요.,반려동물용품,12000,사당동,37.47212365517536,126.98290886574442,2026-05-24 03:43:03,356,86,38
124,아령 사용감 적어요,아령 상태 양호합니다. 봉천동 근처에서 시간 맞춰 거래 가능합니다.,스포츠/레저,48000,봉천동,37.4863327966206,126.9399336203606,2026-05-24 08:16:03,751,84,38
125,게임 패드 사용감 적어요,집 정리하면서 게임 패드 내놓습니다. 대학동에서 직거래 가능합니다.,게임/취미,18000,대학동,37.47203493263361,126.93508476554254,2026-05-16 19:27:03,327,71,24
126,화장대 저렴하게 내놓습니다,화장대 상태 양호합니다. 상도동 근처에서 시간 맞춰 거래 가능합니다.,가구/인테리어,122000,상도동,37.50407668267535,126.93086270920872,2026-06-05 06:13:03,194,27,21
127,맨투맨 상태 좋아요,봉천동 인근에서 거래 원합니다. 맨투맨 필요하신 분 연락 주세요.,의류,60000,봉천동,37.47797747492358,126.93996764371964,2026-06-02 00:43:03,562,94,33
